country;group;week;zscore
Belgium;Total;2023-03;1.6
Belgium;Total;2023-04;1.28
Belgium;Total;2023-05;1.74
Belgium;Total;2023-06;1.36
Belgium;Total;2023-07;2.15
Belgium;Total;2023-08;1.16
Belgium;Total;2023-09;1.45
Belgium;Total;2023-10;2.36
Belgium;Total;2023-11;1.43
Belgium;Total;2023-12;1.35
Belgium;Total;2023-13;1.24
Belgium;Total;2023-14;-0.11
Belgium;Total;2023-15;-0.06
Belgium;Total;2023-16;-0.55
Belgium;Total;2023-17;-1.08
Belgium;Total;2023-18;-0.98
Belgium;Total;2023-19;0.47
Belgium;Total;2023-20;0.09
Belgium;Total;2023-21;-0.98
Belgium;Total;2023-22;-0.67
Belgium;Total;2023-23;1.63
Belgium;Total;2023-24;1.9
Belgium;Total;2023-25;-0.58
Belgium;Total;2023-26;-0.33
Belgium;Total;2023-27;-0.13
Belgium;Total;2023-28;0.29
Belgium;Total;2023-29;-2.01
Belgium;Total;2023-30;-0.99
Belgium;Total;2023-31;-1.7
Belgium;Total;2023-32;-0.32
Belgium;Total;2023-33;0.17
Belgium;Total;2023-34;0.12
Belgium;Total;2023-35;-1.3
Belgium;Total;2023-36;0.81
Belgium;Total;2023-37;1.28
Belgium;Total;2023-38;-1.44
Belgium;Total;2023-39;-0.2
Belgium;Total;2023-40;-0.34
Belgium;Total;2023-41;-0.41
Belgium;Total;2023-42;1.06
Belgium;Total;2023-43;1.4
Belgium;Total;2023-44;-0.18
Belgium;Total;2023-45;-0.36
Belgium;Total;2023-46;1.32
Belgium;Total;2023-47;1.14
Belgium;Total;2023-48;1.46
Belgium;Total;2023-49;2.78
Belgium;Total;2023-50;2.84
Belgium;Total;2023-51;2.88
Belgium;Total;2023-52;2.49
Belgium;Total;2024-01;2.05
Belgium;Total;2024-02;3.16
Belgium;Total;2024-03;3.7
Belgium;Total;2024-04;4.16
Belgium;Total;2024-05;3.32
Belgium;Total;2024-06;2.45
Belgium;Total;2024-07;1.56
Belgium;Total;2024-08;0.44
Belgium;Total;2024-09;0.57
Belgium;Total;2024-10;0.75
Belgium;Total;2024-11;-0.35
Belgium;Total;2024-12;-0.44
Belgium;Total;2024-13;0.22
Belgium;Total;2024-14;0.16
Belgium;Total;2024-15;0.36
Belgium;Total;2024-16;-0.45
Belgium;Total;2024-17;0.46
Belgium;Total;2024-18;0.93
Belgium;Total;2024-19;-1.04
Belgium;Total;2024-20;0.11
Belgium;Total;2024-21;-1.85
Belgium;Total;2024-22;-1.95
Belgium;Total;2024-23;-0.01
Belgium;Total;2024-24;0.74
Belgium;Total;2024-25;0.66
Belgium;Total;2024-26;2.58
Belgium;Total;2024-27;-0.2
Belgium;Total;2024-28;-0.46
Belgium;Total;2024-29;1.19
Belgium;Total;2024-30;1.23
Belgium;Total;2024-31;0.71
Belgium;Total;2024-32;0.39
Belgium;Total;2024-33;0.37
Belgium;Total;2024-34;0.2
Belgium;Total;2024-35;-1.16
Belgium;Total;2024-36;-0.61
Belgium;Total;2024-37;-1.08
Belgium;Total;2024-38;0.56
Belgium;Total;2024-39;0.53
Belgium;Total;2024-40;0.95
Belgium;Total;2024-41;0.73
Belgium;Total;2024-42;1
Belgium;Total;2024-43;0.64
Belgium;Total;2024-44;-1.04
Belgium;Total;2024-45;-1.16
